연번,동명,주소,구분,세부위치(건물명 또는 상호),박스수량
27,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 315동 재활용장,1
28,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 316동 재활용장,1
29,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 404동 재활용장,1
30,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 405동 재활용장,1
31,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 406동 재활용장,1
32,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 407동 재활용장,1
33,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 408동 재활용장,1
34,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 410동 재활용장,1
35,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 411동 재활용장,1
36,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 412동 재활용장,1
37,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 414동 재활용장,1
38,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 415동 재활용장,1
39,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 416동 재활용장,1
40,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 418동 재활용장,1
41,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 503동 재활용장,1
42,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 504동 재활용장,1
43,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 506동 재활용장,1
44,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 507동 재활용장,1
45,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 509동 재활용장,1
46,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 510동 재활용장,1
47,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 515동 재활용장,1
48,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 516동 재활용장,1
49,가락1동,서울특별시 송파구 송파대로345,공동주택,송파헬리오시티 517동 재활용장,1
50,가락1동,서울특별시 송파구 양재대로 925,주민센터,가락1동 주민센터 옆,1
51,가락2동,서울특별시 송파구 동남로18길 40,공동주택,가락프라자아파트 관리사무소,1
52,가락2동,서울특별시 송파구 오금로 432 ,공동주택,삼환가락아파트 관리사무소,1
53,가락2동,서울특별시 송파구 오금로 432,공동주택,가락1차쌍용아파트 관리사무소(1초소),1
54,가락2동,서울특별시 송파구 오금로 432,공동주택,가락1차쌍용아파트 관리사무소(2초소),1
55,가락2동,서울특별시 송파구 오금로 432,공동주택,가락1차쌍용아파트 관리사무소(3초소),1
56,가락2동,서울특별시 송파구 오금로 432 ,공동주택,가락1차쌍용아파트 관리사무소(4초소),1
57,가락2동,서울특별시 송파구 오금로 432,공동주택,가락1차쌍용아파트 관리사무소(5초소),1
58,가락2동,서울특별시 송파구 동남로 208,공동주택,가락극동아파트 관리사무소,1
59,가락2동,서울특별시 송파구 동남로 225,공동주택,"레미안파크팰리스 101, 103, 105, 106, 108, 110, 111, 112, 113동",9
60,가락2동,서울특별시 송파구 동남로 169,공동주택,"가락미륭아파트 관리사무소(102동옆,105동뒤)",4
61,가락2동,서울특별시 송파구 동남로 225,공동주택,가락5차현대아파트 관리사무소(53동앞),1
62,가락2동,서울특별시 송파구 오금로44길 47,공동주택, 동궁리치웰아파트 관리사무소(101동),1
63,가락2동,서울특별시 송파구 중대로20길 6,주민센터,가락2동주민센터,1
64,가락2동,서울특별시 송파구 오금로42길 15,주택가,샛팽이경로당,1
65,가락본동,서울특별시 송파구 송파대로32길 15,공동주택,가락금호아파트 관리사무소(104동 2초소앞),1
66,가락본동,서울특별시 송파구 송파대로32길 8,공동주택,가락우성아파트 관리사무소(5동앞),1
67,가락본동,서울특별시 송파구 송파대로32길 8 ,공동주택,가락우성아파트 관리사무소(7동앞),1
68,가락본동,서울특별시 송파구 송이로 166,공동주택,가락우성2차아파트 101동 지하주차장 출입구,1
69,가락본동,서울특별시 송파구 송이로15길 31,공동주택,가락쌍용2차아파트 관리사무소(4초소앞),1
70,가락본동,서울특별시 송파구 송이로 88,공동주택,"가락대림아파트 관리사무소(옆,상가 뒤)",3
71,가락본동,서울특별시 송파구 송파대로32길 33,공동주택,가락동부센트레빌 관리사무소(102동 지하주차장입구),1
72,가락본동,서울특별시 송파구 송파대로 220,공동주택,가락한신아파트 관리사무소,1
73,가락본동,서울특별시 송파구 송이로19길 8,공동주택,가락6차현대아파트 관리사무소(101동옆),1
74,가락본동,서울특별시 송파구 송파대로28길 39,주민센터,가락본동주민센터 ,2
