순번,상호명,수거종류,수거방법,수거장소(주소),장소구분,수거비용
199,(LGU+)B LG슬기모바일구월롯데캐슬점,폐휴대폰,수거함 설치,인천 남동구 호구포로 792 ,민팃ATM,무상
200,(LGU+)B LG승진모바일성포점,폐휴대폰,수거함 설치,경기 안산시 상록구 화랑로 501 ,민팃ATM,무상
201,(LGU+)B LG승진모바일아디다스상록점,폐휴대폰,수거함 설치,경기 안산시 상록구 용신로 387 ,민팃ATM,무상
202,(LGU+)B LG신비플러스대림역점,폐휴대폰,수거함 설치,서울 구로구 도림로 85 ,민팃ATM,무상
203,(LGU+)B LG신비플러스방화사거리점,폐휴대폰,수거함 설치,서울 강서구 양천로 72 ,민팃ATM,무상
204,(LGU+)B LG신비플러스파리공원점,폐휴대폰,수거함 설치,서울 양천구 목동서로 65 ,민팃ATM,무상
205,(LGU+)B LG신세계면목시장점,폐휴대폰,수거함 설치,서울 중랑구 면목로33길 33 ,민팃ATM,무상
206,(LGU+)B LG신세계성주군청점,폐휴대폰,수거함 설치,경북 성주군 성주읍 성주로 3224-1 ,민팃ATM,무상
207,(LGU+)B LG신윤티앤에스법조타운점,폐휴대폰,수거함 설치,서울 송파구 법원로 114 ,민팃ATM,무상
208,(LGU+)B LG신커뮤니농협사거리점,폐휴대폰,수거함 설치,강원 원주시 원일로 109 ,민팃ATM,무상
209,(LGU+)B LG씨엠씨성복역점,폐휴대폰,수거함 설치,경기 용인시 수지구 성복2로 51 ,민팃ATM,무상
210,(LGU+)B LG아큐플러스가락시장역점,폐휴대폰,수거함 설치,서울 송파구 중대로 105 ,민팃ATM,무상
211,(LGU+)B LG아티스트계룡아파트점,폐휴대폰,수거함 설치,대전 서구 벌곡로1379번길 21 ,민팃ATM,무상
212,(LGU+)B LG알파대리점롯데리아점,폐휴대폰,수거함 설치,충북 청주시 서원구 월평로 4 ,민팃ATM,무상
213,(LGU+)B LG약산통신중랑전화국점,폐휴대폰,수거함 설치,서울 중랑구 봉우재로 46 ,민팃ATM,무상
